词1,词2,NPMI值,PMI值,共现文档数,词1文档频次,词2文档频次,词1概率,词2概率,联合概率
君家,怜君,1.000000,7.743703,1,1,1,0.000433,0.000433,0.000433
夜深,近来,1.000000,7.743703,1,1,1,0.000433,0.000433,0.000433
出入,扁舟,0.910489,7.050556,1,2,1,0.000867,0.000433,0.000433
世人,扁舟,0.910489,7.050556,1,2,1,0.000867,0.000433,0.000433
感激,扁舟,0.910489,7.050556,1,2,1,0.000867,0.000433,0.000433
扁舟,楚水,0.910489,7.050556,1,1,2,0.000433,0.000867,0.000433
到处,当年,0.910489,7.050556,1,1,2,0.000433,0.000867,0.000433
微雨,愁人,0.858128,6.645091,1,1,3,0.000433,0.001300,0.000433
依稀,猿声,0.858128,6.645091,1,1,3,0.000433,0.001300,0.000433
他人,扁舟,0.858128,6.645091,1,3,1,0.001300,0.000433,0.000433
所思,扁舟,0.858128,6.645091,1,3,1,0.001300,0.000433,0.000433
归客,苍茫,0.858128,6.645091,1,1,3,0.000433,0.001300,0.000433
归客,白蘋,0.858128,6.645091,1,1,3,0.000433,0.001300,0.000433
新诗,老人,0.858128,6.645091,1,3,1,0.001300,0.000433,0.000433
宫中,自由,0.858128,6.645091,1,3,1,0.001300,0.000433,0.000433
他人,满眼,0.858128,6.645091,1,3,1,0.001300,0.000433,0.000433
楚水,青苔,0.844181,5.951944,2,2,6,0.000867,0.002601,0.000867
八月,凉风,0.834673,5.546479,3,3,9,0.001300,0.003901,0.001300
扬州,路岐,0.822317,5.797793,2,2,7,0.000867,0.003034,0.000867
扬州,花枝,0.822317,5.797793,2,2,7,0.000867,0.003034,0.000867
回头,家贫,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
九天,千古,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
世间,雨后,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
往事,远山,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
多情,来往,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
扁舟,清净,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
世人,出入,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
出入,感激,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
出入,楚水,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
世人,感激,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
世人,楚水,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
感激,楚水,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
扁舟,诸侯,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
扁舟,玉堂,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
乾坤,苍苔,0.820978,6.357409,1,4,1,0.001734,0.000433,0.000433
杜陵,近来,0.820978,6.357409,1,4,1,0.001734,0.000433,0.000433
夜深,杜陵,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
到处,逢人,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
眼前,道士,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
颜色,黄昏,0.809105,5.376580,3,8,4,0.003468,0.001734,0.001300
须臾,黄昏,0.809105,5.376580,3,8,4,0.003468,0.001734,0.001300
月色,相对,0.803378,5.664262,2,4,4,0.001734,0.001734,0.000867
对酒,微雨,0.792162,6.134265,1,5,1,0.002167,0.000433,0.000433
十里,红叶,0.792162,6.134265,1,5,1,0.002167,0.000433,0.000433
梦魂,潇湘,0.792162,6.134265,1,1,5,0.000433,0.002167,0.000433
得意,扁舟,0.792162,6.134265,1,5,1,0.002167,0.000433,0.000433
扁舟,自古,0.792162,6.134265,1,1,5,0.000433,0.002167,0.000433
扁舟,衣裳,0.792162,6.134265,1,1,5,0.000433,0.002167,0.000433
王孙,黄昏,0.791381,5.258797,3,9,4,0.003901,0.001734,0.001300
公子,须臾,0.787481,4.565649,7,21,8,0.009103,0.003468,0.003034
须臾,颜色,0.781940,4.971115,4,8,8,0.003468,0.003468,0.001734
花前,黄昏,0.775525,5.153436,3,10,4,0.004335,0.001734,0.001300
古人,黄昏,0.775525,5.153436,3,10,4,0.004335,0.001734,0.001300
无力,看花,0.771729,5.441118,2,5,4,0.002167,0.001734,0.000867
使君,看花,0.771729,5.441118,2,5,4,0.002167,0.001734,0.000867
所以,独立,0.768617,5.951944,1,3,2,0.001300,0.000867,0.000433
东风,青冥,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
孤舟,往事,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
多情,消息,0.768617,5.951944,1,2,3,0.000867,0.001300,0.000433
来往,消息,0.768617,5.951944,1,2,3,0.000867,0.001300,0.000433
人情,君家,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
人情,怜君,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
扁舟,青苔,0.768617,5.951944,1,1,6,0.000433,0.002601,0.000433
他人,出入,0.768617,5.951944,1,3,2,0.001300,0.000867,0.000433
出入,所思,0.768617,5.951944,1,2,3,0.000867,0.001300,0.000433
世人,他人,0.768617,5.951944,1,2,3,0.000867,0.001300,0.000433
世人,所思,0.768617,5.951944,1,2,3,0.000867,0.001300,0.000433
他人,感激,0.768617,5.951944,1,3,2,0.001300,0.000867,0.000433
