community_id,size,theme_chars,theme_label,phrases
0,213,花 春 风 年,花春风年,万户 千门 今年 去年 翡翠 鸳鸯 巫山 阳台 云雨 寒食 清明 天上 白玉 北阙 南宫 南山 无力 有情 凤凰 鹦鹉 君王 宫中 汉宫 今朝 双阙 桃花 御沟 柳色 王孙 芳草 歌舞 梨花 楼前 陌上 曲江 杏花 花开 花落 青春 池塘 红粉 罗衣 美人 青楼 双飞 江水 瑶池 仙人 落花 芙蓉
1,169,秋 月 风 山,秋月风山,东西 南北 菊花 重阳 登高 八月 日夜 暮雨 武陵 黄花 巫峡 洞庭 潇湘 湘水 长沙 关山 望乡 汀洲 白蘋 使君 皎然 凉风 白露 春草 他乡 故国 山高 黄叶 别后 相思 猿声 今夜 行人 万里 猿啼 谢公 碧云 江山 风月 行客 苍苔 落叶 风雨 青山 叶落 今已 河汉 远近 前程 岐路
3,95,山 水 人 年,山水人年,山色 水声 人间 桃源 青苔 先生 弟子 昔年 道士 流水 残月 马嘶 东山 鬼神 尘土 城下 城中 清净 莲花 天台 焚香 泉声 天寒 世事 月出 微风 太守 远山 翠微 残阳 水边 多病 流年 来往 到处 逢人 云间 深山 溪水 闻说 东林 题诗 相寻 物外 独行 高树 水清 吟诗 珍重 世人
2,191,人 白 相 年,人白相年,黄金 乾坤 日月 咸阳 渭水 从军 单于 汉家 昨日 九衢 功名 富贵 星辰 雨雪 白日 东流 昔时 大道 今日 昆仑 黄河 叹息 颜色 日晚 路傍 将军 青天 苍生 相识 满眼 当年 红尘 造化 才子 洛阳 万古 当时 意气 中原 英雄 行路 世间 少年 走马 万事 百年 男儿 万国 太平 人生
