community_id,size,theme_chars,theme_label,phrases
0,49,来 苍 山 夜,来苍山夜,夜深 近来 归客 苍茫 白蘋 扬州 路岐 花枝 乾坤 苍苔 十里 红叶 半夜 山僧 姓名 先生 弟子 雨露 干戈 古木 深山 朝廷 旧游 东西 文章 日斜 清风 凄凉 生死 南北 相看 白雪 秋日 鹧鸪 相送 行客 太守 人家 归来 鸡鸣 往来 可惜 功成 苍梧 江海 故人 日落 青山 风烟
1,78,白 人 月 山,白人月山,出入 扁舟 世人 感激 楚水 他人 所思 青苔 清净 诸侯 玉堂 颜色 须臾 梦魂 得意 自古 衣裳 忆昔 茫茫 咸阳 丞相 骨肉 翡翠 游子 万物 单于 昆仑 蹉跎 日晚 怅望 封侯 昔日 萧条 湘水 不归 白玉 摇落 秋声 圣人 月满 西山 尘埃 马上 古来 无穷 白首 万事 美人 逶迤 瑶池
2,157,山 水 路 月,山水路月,到处 当年 依稀 满眼 回头 家贫 九天 千古 逢人 对酒 潇湘 所以 独立 人情 君家 怜君 天台 闭门 独自 阑干 吾道 送客 婵娟 天寒 风波 江流 功名 帝城 水流 思归 从军 读书 鬼神 城中 清秋 烟波 中原 江城 英雄 渭水 他日 池塘 行路 路难 夜长 梧桐 旌旗 雨中 猿啼 沧海
3,72,风 人 微 雨,风人微雨,微雨 愁人 八月 凉风 圣朝 草色 月出 石上 无情 汉宫 苍生 谢公 相忆 水声 马蹄 明日 杯酒 自知 松风 萧索 浮生 青天 山头 宫殿 焚香 永日 孤城 黄河 阳春 清明 楼台 登楼 雨雪 微风 林下 风飘 世上 至今 风动 笙歌 鱼龙 风雨 泉声 花满 人心 月落 曲江 辛苦 芳草 云飞
4,78,门 心 南 山,门心南山,猿声 道士 使君 咫尺 是非 九衢 车马 经过 子孙 心期 才子 红尘 朱门 自言 叶落 北阙 南宫 天涯 佳期 丈夫 名利 寥落 玉楼 同心 知音 金谷 江南 千门 山河 九重 万户 迢递 垂杨 当时 丹砂 知己 意气 青门 竹林 龙门 飘飖 湖上 羽翼 金陵 昨夜 登高 高秋 故园 憔悴 白马
7,113,人 花 风 相,人花风相,新诗 老人 宫中 自由 世间 雨后 往事 远山 多情 来往 杜陵 无力 看花 孤舟 消息 夜来 台上 遥知 还家 飞鸟 秋天 君心 题诗 孤云 有情 楚客 沧浪 寂寥 星辰 春水 歌声 东方 殷勤 去年 残月 老去 北风 相逢 青楼 日照 满地 大道 相亲 相寻 武陵 东海 青草 红粉 鹦鹉 行人
5,37,年 花 前 子,年花前子,眼前 黄昏 王孙 公子 花前 古人 松柏 阳城 行乐 昨日 少年 今年 水边 白头 明年 相识 桃李 夫子 蛾眉 世事 宛转 明时 花开 芳树 叹息 花落 波涛 路傍 神仙 可怜 落花 年年 将军 走马 歌舞 洛阳 年少
6,47,万 相 东 风,万相东风,月色 相对 东风 青冥 潺湲 珍重 罗衣 庭前 万古 公卿 千万 池上 归去 蛟龙 玲珑 阙下 鸳鸯 夜雨 心事 百尺 东流 高台 游人 相访 零落 人生 昔年 秋来 今已 十载 流水 云间 萧萧 今来 岁寒 水清 长江 黄叶 汉家 欢娱 钓鱼 未央 长安 凤凰 春风 春光 万年
