community_id,size,theme_chars,theme_label,phrases
0,116,君 月 花 夜,君月花夜,万户 千门 鸳鸯 含情 今年 去年 自言 宫中 歌舞 君王 九重 玉楼 昔时 弟子 承恩 君心 高台 红粉 九衢 双阙 未央 路傍 窈窕 秋雨 太平 霓裳 君恩 梨花 飘飖 山河 宛转 寒食 君家 阑干 玉堂 天下 苍苔 宫殿 罗衣 柳色 渭水 忆昔 无力 夜长 风动 十里 百花 行乐 春雨 芙蓉
1,78,风 青 楼 杨,风青楼杨,翡翠 美人 青楼 垂杨 云雨 楼前 叹息 颜色 山川 梧桐 独自 日斜 鹦鹉 男儿 苍茫 鹧鸪 江山 风月 金谷 意气 骑马 御沟 楼上 萧索 清明 多少 须臾 得意 青门 日照 日落 年少 陌上 随风 白马 断肠 绿杨 光辉 尚书 前程 多情 无限 氛氲 年华 江边 扬州 江流 草绿 路长 青草
7,50,人 相 风 路,人相风路,皎然 英雄 路难 清秋 东南 迢递 行路 羽翼 苦辛 向人 东海 富贵 钓鱼 古来 白日 龙门 今已 读书 闭门 知己 人情 相识 他人 江海 依然 风波 歌声 相对 岐路 人生 自由 凉风 他年 相送 送客 马上 临水 沧浪 秋日 花飞 往来 归去 东山 风尘 风雨 太守 文字 相看 湖上 故园
3,41,马 花 东 山,马花东山,东西 南北 干戈 残阳 封侯 雨雪 关山 单于 明主 两相 将军 武陵 走马 溪水 马嘶 远近 城下 河汉 宁知 牡丹 看花 山僧 鸟飞 秋月 东方 花间 人稀 城中 花时 马蹄 旌旗 望乡 日晚 天台 春日 少年 无穷 古木 翠微 眼前 萧条
4,126,人 千 世 年,人千世年,乾坤 昆仑 中原 白玉 黄金 星辰 鬼神 瑶池 大道 自然 蛟龙 日月 紫微 道士 世上 白蘋 云飞 造化 当年 帝乡 所以 生死 万物 圣人 神仙 诸侯 咫尺 相访 消息 往事 万年 物外 子孙 桃源 丹砂 山高 饮酒 闻说 千古 劝君 九天 天上 世人 骨肉 功成 蓬莱 姓名 曲江 他日 寻常
5,39,山 水 声 花,山水声花,山色 水声 清净 莲花 红叶 晚来 高秋 双飞 微风 细雨 旧游 登临 黄鹤 黄花 乔木 尘土 泉声 凄凉 深山 独行 扁舟 长江 孤云 摇落 高树 烟波 风起 故国 残月 怜君 相寻 携手 相亲 沧洲 白云 山阴 秋水 东林 夜深
6,36,圣 秋 人 月,圣秋人月,圣主 苍生 北斗 梦魂 潇湘 秋来 雨后 肠断 佳人 月光 愁人 清晨 青天 古今 楚水 故乡 月色 游子 圣朝 还家 南国 参差 客心 霄汉 不归 落叶 思归 百年 芳树 秋天 寥落 经年 浮云 相见 花开 水边
8,111,花 山 草 春,花山草春,巫峡 猿啼 巫山 阳台 月落 暮雨 汀洲 千秋 汉宫 丹青 他乡 兄弟 绿水 昔年 绮罗 婵娟 青松 洞庭 湘水 关河 蹉跎 有情 杜陵 吾道 衣冠 北风 杏花 空馀 苍梧 草色 春深 莺啼 人家 无情 黄河 登高 菊花 日出 公子 帝城 春水 重阳 游人 梦中 朝朝 秋色 花满 芳草 落花 可惜
2,39,山 头 相 水,山头相水,朝廷 微雨 北阙 南宫 秋声 壮士 岁寒 满地 珍重 自怜 山头 庭前 相知 明时 尘埃 波涛 水流 玉树 斜阳 平生 百里 夜月 流年 回头 长安 朱门 山水 潺湲 憔悴 心期 时节 花下 山下 人皆 相望 多病 回首 洛阳 殷勤
